DATA;DATA_TS;RES65;PM10;so2;co;o3;no2
29 de abr de 97;1997-04-29;15;80,285;31,99;4,3286;47,723;137,22
30 de abr de 97;1997-04-30;11;94,72;38,894;4,4614;60,547;192,033
1 de mai de 97;1997-05-01;7;77,622;35,068;4,0286;93,168;123,455
2 de mai de 97;1997-05-02;10;99,1;37,952;4,3114;75,078;171,57
3 de mai de 97;1997-05-03;10;94,352;34,48;3,92;187,628;207,488
4 de mai de 97;1997-05-04;11;47,819;13,238;1,7433;46,495;57,428
5 de mai de 97;1997-05-05;16;49,204;18,076;2,7117;69,562;105,893
6 de mai de 97;1997-05-06;10;67,932;26,076;2,8067;100,464;125,838
7 de mai de 97;1997-05-07;8;75,645;29,384;2,9;79,682;123,89
8 de mai de 97;1997-05-08;6;82,638;29,54;3,0843;115,254;141,288
9 de mai de 97;1997-05-09;12;86,515;32,762;3,4214;143,126;184,342
10 de mai de 97;1997-05-10;14;66,237;20,39;2,2686;117,814;103,685
11 de mai de 97;1997-05-11;16;61,252;16,794;1,9386;98,692;80,573
12 de mai de 97;1997-05-12;9;83,833;32,278;4,3729;56,65;169,797
13 de mai de 97;1997-05-13;15;86,794;29,894;4,5257;51,258;95,358
14 de mai de 97;1997-05-14;11;52,832;18,066;2,1371;39,277;79,578
15 de mai de 97;1997-05-15;7;58,889;24,29;2,56;35,518;91,068
16 de mai de 97;1997-05-16;13;75,808;34,626;3,14;56,316;120,59
17 de mai de 97;1997-05-17;4;72,283;25,942;2,82;70,85;100,143
18 de mai de 97;1997-05-18;8;68,508;21,968;2,555;68,845;86,822
19 de mai de 97;1997-05-19;11;89,022;36,338;5,625;65,973;142,265
20 de mai de 97;1997-05-20;11;97,534;41,868;5,6671;49,898;173,61
21 de mai de 97;1997-05-21;11;83,655;35,846;4,99;54,722;128,422
22 de mai de 97;1997-05-22;10;57,398;20,518;4,7571;28,04;85,513
23 de mai de 97;1997-05-23;16;46,015;21,068;3,0914;36,57;75,623
24 de mai de 97;1997-05-24;11;40,832;12,632;2,5657;23,015;69,65
25 de mai de 97;1997-05-25;12;27,584;9,768;2,1643;28,878;63,648
26 de mai de 97;1997-05-26;9;57,061;30,838;3,1643;41,977;126,513
27 de mai de 97;1997-05-27;14;62,071;28,804;4,08;56,162;123,163
28 de mai de 97;1997-05-28;15;56,925;27,908;4,63;17,455;93,358
29 de mai de 97;1997-05-29;12;26,068;13,36;3,5357;34,382;50,398
30 de mai de 97;1997-05-30;10;30,139;14,378;2,2417;32,763;76,015
31 de mai de 97;1997-05-31;20;40,348;15,904;1,7414;35,615;65,315
1 de jun de 97;1997-06-01;10;36,697;19,052;1,8214;39,738;63,245
2 de jun de 97;1997-06-02;15;55,647;28,82;2,9333;54,013;108,94
3 de jun de 97;1997-06-03;21;94,481;43,675;4,7367;32,715;263,738
4 de jun de 97;1997-06-04;14;76,791;38,135;4,5633;29,5;99,026
5 de jun de 97;1997-06-05;17;50,119;29,66;5,3017;11,672;116,136
6 de jun de 97;1997-06-06;14;49,438;28,8075;3,8733;19,89;83,924
7 de jun de 97;1997-06-07;23;40,001;19,4825;3,4433;35,962;73,198
8 de jun de 97;1997-06-08;21;39,089;12,85;2,6183;40,483;65,806
9 de jun de 97;1997-06-09;20;70,492;37,4125;3,2767;103,912;165,1
10 de jun de 97;1997-06-10;20;93,601;43,7375;5,0533;79,698;197,754
11 de jun de 97;1997-06-11;24;100,32;51,71;5,9029;42,73;198,013
12 de jun de 97;1997-06-12;25;62,301;33,6725;5,9;30,14;98,64
13 de jun de 97;1997-06-13;27;98,207;40,542;6,9129;44,012;233,888
14 de jun de 97;1997-06-14;19;51,818;19,676;5,5929;11,765;70,735
15 de jun de 97;1997-06-15;21;26,649;10,124;2,7971;20,408;50,135
16 de jun de 97;1997-06-16;19;39,219;21,742;3,4129;27,487;84,95
17 de jun de 97;1997-06-17;15;66,67;39,194;5,2214;17,257;95,665
18 de jun de 97;1997-06-18;24;78,975;34,892;4,6557;58,703;122,525
19 de jun de 97;1997-06-19;26;73,343;34,072;4,4943;37,255;159,142
20 de jun de 97;1997-06-20;15;61,89;29,61;6,6883;16,25;105,24
21 de jun de 97;1997-06-21;18;61,948;30,162;5,8957;28,343;82,792
22 de jun de 97;1997-06-22;23;52,478;25,422;4,9257;33,602;73,21
23 de jun de 97;1997-06-23;21;66,561;31,17;4,42;41,345;140,36
24 de jun de 97;1997-06-24;26;68,869;33,78;5,4386;41,792;109,957
25 de jun de 97;1997-06-25;24;104,533;45,906;6,3129;51,093;165,477
26 de jun de 97;1997-06-26;20;84,055;35,272;5,8886;52,035;129,22
27 de jun de 97;1997-06-27;17;68,881;35,0775;4,4086;30,202;117,908
28 de jun de 97;1997-06-28;12;48,419;16,012;3,4443;18,512;103,207
29 de jun de 97;1997-06-29;23;37,816;10,946;3,4729;24,912;91,468
30 de jun de 97;1997-06-30;21;36,307;16,766;2,5657;26,217;97,215
1 de jul de 97;1997-07-01;12;48,633;14,24;2,9986;22,218;80,288
2 de jul de 97;1997-07-02;13;73,087;24,305;5,2543;38,105;128,737
3 de jul de 97;1997-07-03;22;76,176;22,935;6,2714;37,652;102,668
4 de jul de 97;1997-07-04;17;77,469;25,6183;6,0443;31,892;103,89
5 de jul de 97;1997-07-05;20;49,072;13,654;3,0833;35,874;68,956
6 de jul de 97;1997-07-06;23;60,571;14,262;5,5086;57;93,508
7 de jul de 97;1997-07-07;29;88,018;18,8117;5,8171;67,002;203,18
8 de jul de 97;1997-07-08;10;75,884;17,44;2,7114;71,668;127,882
9 de jul de 97;1997-07-09;11;90,038;17,1317;5,0829;75,18;124,96
10 de jul de 97;1997-07-10;12;123,753;30,4267;7,1714;55,273;197,505
11 de jul de 97;1997-07-11;13;102,706;16,798;7,6229;53,582;169,213
12 de jul de 97;1997-07-12;14;69,534;9,04;2,6757;50,825;114,825
13 de jul de 97;1997-07-13;12;64,483;9,342;4,78;61,735;112,817
14 de jul de 97;1997-07-14;21;105,808;27,814;6,7771;46,423;158,795
15 de jul de 97;1997-07-15;15;147,408;37,2567;7,7257;55,678;256,608
16 de jul de 97;1997-07-16;10;141,655;29,21;8,4071;39,57;154,898
17 de jul de 97;1997-07-17;18;129,638;26,665;7,5186;32,143;268,765
18 de jul de 97;1997-07-18;10;66,744;13,705;3,1729;33,947;97,188
